project_id,submitter_id,project_id,associate_experiment,copy_numbers_identified,data_description,experimental_description,experimental_intent,indels_identified,marker_panel_description,number_experimental_group,number_samples_per_experimental_group,somatic_mutations_identified,type_of_data,type_of_sample,type_of_specimen,type
"{'id': 58, 'name': 'CAMP'}","<pre>
5026fbd46a4988e2b4a30da2978e3685  CAMP_aliases.csv
44461b96a55c67e7f5661a78d8cb6a7d  CAMP_aliases.txt
39269ea0db81c514be2b81ca0f4f8335  CAMP_deidentified.csv
39269ea0db81c514be2b81ca0f4f8335  CAMP_deidentified.csv.1
62f0a254198abd8e6da313a9b7dbdb38  CAMP.fam
e454cc70dffe62fc9434d6f3dd1a921c  camp_nwd_map.txt
cefdbccf4bf2e5743482af6d23ef45ee  pedid_genid_map.csv
</pre>",CAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 58, 'name': 'CAMP'}",,CAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 58, 'name': 'CAMP'}",,CAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 58, 'name': 'CAMP'}","*Location*: @/udd/reawa/Grant/CAMPnasalRNA/@
*URLs*:
* https://www.nature.com/articles/s41598-018-27189-4
* https://www.synapse.org/#!Synapse:syn9878922/files/

<pre>
83319f03c2d43dbf525cfc903a79a32d Asthma_RNAseq_Development_Set.csv
ba3a9b0cb0e4ac7fd7f7d69f3936e5f6  Asthma_RNAseq_Test_Set.csv
8a13a52e91b37c20e90f0e2e94270524  CAMPnasalRNA_IDs.csv

</pre>",CAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 58, 'name': 'CAMP'}","Just creating a bug for the SNP genotyping results once they are complete.

Eric, please post all results to this bug.",CAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 58, 'name': 'CAMP'}",,CAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 58, 'name': 'CAMP'}",,CAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 987, 'name': 'CARE'}",,CARE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 987, 'name': 'CARE'}",,CARE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 987, 'name': 'CARE'}",,CARE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 987, 'name': 'CARE'}",,CARE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 1115, 'name': 'CHARGE'}",,CHARGE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 1137, 'name': 'CHILD'}",,CHILD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 137, 'name': 'COPDGene'}","<pre>
f8892c9807f954cfaa3121e6b59f85bf  data/freezes/20181021/ige_copdgene.csv
</pre>",COPDGene,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 137, 'name': 'COPDGene'}","<pre>
17545b9c7a838bc7f6f098634e975aa9  Carolan_2014_Resp_Res/COPDGene_Bowler_RBM_raw.csv
</pre>",COPDGene,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 137, 'name': 'COPDGene'}","README for estimated mtDNA copy number:

Both mitochondrial DNA copy number and mitochondrial DNA sequence data are provided by the
University of Michigan IRC to each study for deposit in the TOPMed dbGap area.  Copy number
estimates are provided for studies in data freeze 8.

Mitochondrial DNA copy number for each TOPMed sample is estimated by applying the fastMitoCalc 
software (Jun Ding et al (2015)) to harmonized build 38 mappings of TOPMed deep whole genome 
sequencing data.  The estimated mitochondrial copy number is twice the ratio of average mitochondrial 
sequencing depth to average autosomal sequencing depth.

In addition to the estimated copy number and the two component sequencing depths, the table 
identifies each DNA sample by its NWD identifier, study PI, study name, phs number, sequencing
center and QC date.  It provides four sequencing quality control metrics derived from autosomal DNA.
""pct.contam"" is the estimated level of DNA sample contamination from verifyBamID in (fractions of a)
percent.  ""isize"" is the median sequencing insert size.  ""pct.dp10"" and ""pct.dp20"" give the fraction
of the genome covered (in percent) to at least depth 10 and at least depth 20.

The 13 columns in the table are:

   NWD: TOPMed sample ID
   PI: Study PI
   study: Study name
   PHS: dbGaP phs accession number
   seq.ctr: Sequencing center
   qc.date: Date of QC in Michigan (shortly after receipt of the sequence data in Michigan)
   mito.cn: Estimated mtDNA copy number
   mito.dp: Average mitochondrial sequencing depth
   auto.dp: Average autosomal sequencing depth
   pct.contam: Estimated level of DNA sample contamination estimated by verifyBamID (in percent)
   isize: Median sequencing insert size (base pairs)
   pct.dp10: Fraction of the genome covered to at least depth 10 (in percent)
   pct.dp20: Fraction of the genome covered to at least depth 20 (in percent)

Reference:
J. Ding et al (2015).  Assessing mitochondrial DNA variation and copy number in lymphocytes 
of ~2,000 Sardinians using tailored sequencing analysis tools.  PLoS Genetics, v.11, e1005306.
",COPDGene,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 137, 'name': 'COPDGene'}",,COPDGene,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 137, 'name': 'COPDGene'}","Estimated telomere length from whole-genome sequencing (WGS) samples
The TelSeq method was used to perform telomere length estimation on the TOPMed WGS data. Final telomere length (TL) estimation was performed on a set of 93,219 samples from Freeze 6a whose sequencing reads were available for analysis at the TOPMed IRC at the time of analysis. 

Details of the TelSeq method are found in Ding et al.(1). TelSeq calculates an estimate of individual TL using counts of sequencing reads containing a fixed number of repeats of the telomeric nucleotide motif TTAGGG. Given that 97.9% of the TOPMed data was sequenced using read lengths of 151 or 152, we chose to use a repeat number of 12. These read counts are then normalized according to the number of reads in the individual with between 48% and 52% GC content, to adjust for potential technical artifacts related to GC content. 

For questions, contact Rasika Mathias (rmathias@jhmi.edu) or Margaret Taub (mtaub@jhsph.edu).

1. Ding, Z. et al. Estimating telomere length from whole genome sequence data. Nucleic Acids Res 42, e75, doi:10.1093/nar/gku181 (2014).",COPDGene,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 137, 'name': 'COPDGene'}","As of 18-Sep-2020, most users are using freeze8, but freeze9 is also available.  A few studies (CAMP, CRA, and LTRC) have had their samples extracted out into their own datasets, and some QC has been performed.

",COPDGene,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 137, 'name': 'COPDGene'}","There has been a reference dataset produced by Meg Parker and maintained by Robert Chase here:

/proj/regeps/regep00/studies/COPDGene/data/projectdata/rerpc/king_data/

This dataset has been used a reference or comparing new genotype data; but it is (may be) missing a few subjects.  We thought to produce a similar dataset with the same markers, updated to include all of the samples in the Unified VCF.  This dataset should be plink-formatted.",COPDGene,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 137, 'name': 'COPDGene'}",,COPDGene,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 137, 'name': 'COPDGene'}",,COPDGene,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 137, 'name': 'COPDGene'}",,COPDGene,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 137, 'name': 'COPDGene'}",,COPDGene,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 137, 'name': 'COPDGene'}","This dataset contains as much data as possible on all COPDGene subjects at 59 SNP loci that are used as references on the Illumina Methylation 850K/EPIC chip.  It is intended to be used a reference in the Methylation pipeline to detect sample issues to to mis-plating, etc.",COPDGene,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 137, 'name': 'COPDGene'}","Unified Genotype Dataset containing GWAS, Exome, and HRC-Imputed genotypes

*Md5sums as of 2022-10-20*.  Both population datasets are at freeze 20221001:

<pre>
e5bb49a19771aeaf02a00e50041593a6  data/canonical/CgAa_chr10_unified.vcf.gz
4cdd4e10192c4e95c36888ee2f63ef01  data/canonical/CgAa_chr11_unified.vcf.gz
f39a05fa5a873ac842a3c6d50c295cad  data/canonical/CgAa_chr12_unified.vcf.gz
f1c2a58ec18ef984fcbfabd463fadde0  data/canonical/CgAa_chr13_unified.vcf.gz
fc30a8d88887466b0446d9802665e4a1  data/canonical/CgAa_chr14_unified.vcf.gz
f12e98219838960a7fa0d874c87e2707  data/canonical/CgAa_chr15_unified.vcf.gz
bc37b22c732c448e8f675b1b999db175  data/canonical/CgAa_chr16_unified.vcf.gz
b39a1903e7af6d87f2636f9df055b75f  data/canonical/CgAa_chr17_unified.vcf.gz
5e628d22f6ed3b45117412fa5490fb6c  data/canonical/CgAa_chr18_unified.vcf.gz
a3b6a4b6bd2fd29c96468ecdde61e663  data/canonical/CgAa_chr19_unified.vcf.gz
3e28746a0b94b21c454daac3374c5257  data/canonical/CgAa_chr1_unified.vcf.gz
07704d2a9c8ebc6dea44923310fc6738  data/canonical/CgAa_chr20_unified.vcf.gz
c6158fcfa9fe0b81220f46d82c4a4e60  data/canonical/CgAa_chr21_unified.vcf.gz
6319cd696a5e4b5cb77c15fdec8ac4eb  data/canonical/CgAa_chr22_unified.vcf.gz
3fd0cb2a920ea6a02b76a1f21aa989fa  data/canonical/CgAa_chr2_unified.vcf.gz
6bf05efd6e63908382a323d2346bd199  data/canonical/CgAa_chr3_unified.vcf.gz
112b2be057abb052d6fbae82555e3522  data/canonical/CgAa_chr4_unified.vcf.gz
be0774b14311a95fb1e31538273d9010  data/canonical/CgAa_chr5_unified.vcf.gz
05dbe106f3b8cff3833fa2434fb1e8cc  data/canonical/CgAa_chr6_unified.vcf.gz
f6314458f7a88ab13cda40ef09acb3e7  data/canonical/CgAa_chr7_unified.vcf.gz
048d4447f07b766b467893f4a8f1f26a  data/canonical/CgAa_chr8_unified.vcf.gz
60505cad0c6301c950545d63fec9e90a  data/canonical/CgAa_chr9_unified.vcf.gz
806fc06fb2d053f9604e1c3347cc5e6b  data/canonical/CgNhw_chr10_unified.vcf.gz
07cc61ff15dc6a364ade410ec2908b65  data/canonical/CgNhw_chr11_unified.vcf.gz
5efcdd43b0285dbb782b73dadce6930e  data/canonical/CgNhw_chr12_unified.vcf.gz
69ff5e385e2e746cad08eabc5da0c39b  data/canonical/CgNhw_chr13_unified.vcf.gz
9d8e98a7f258fcece617d24c2fad65fa  data/canonical/CgNhw_chr14_unified.vcf.gz
79b1e6c3b8c175e7e8431d8990ca6812  data/canonical/CgNhw_chr15_unified.vcf.gz
ce20897ab855e7091c9b2cc4b17775a9  data/canonical/CgNhw_chr16_unified.vcf.gz
505f5b94ab8dca329159238d34e2f1ab  data/canonical/CgNhw_chr17_unified.vcf.gz
3749a2438ba4797847df3035a2ea2529  data/canonical/CgNhw_chr18_unified.vcf.gz
3f70ade3fa8e1e2733c16139a3d16af4  data/canonical/CgNhw_chr19_unified.vcf.gz
416883bb1320eb4a122dca766726cb29  data/canonical/CgNhw_chr1_unified.vcf.gz
f3f564cb059bd9b1fe77e10bf8363b5d  data/canonical/CgNhw_chr20_unified.vcf.gz
d7bdc1f38e99ff368ccac876c6746368  data/canonical/CgNhw_chr21_unified.vcf.gz
0bc15541daad8a53d3918c3af36ec778  data/canonical/CgNhw_chr22_unified.vcf.gz
ade0c1bdfe09bfebf21be88219d46f69  data/canonical/CgNhw_chr2_unified.vcf.gz
50bffaeb83e37d9100ef698854bda9f4  data/canonical/CgNhw_chr3_unified.vcf.gz
e5092e001aa30899854b772219eae101  data/canonical/CgNhw_chr4_unified.vcf.gz
3930f7ae357f8a731ed61b91ea2d374e  data/canonical/CgNhw_chr5_unified.vcf.gz
e553df3618f25dcafe33288af67f7070  data/canonical/CgNhw_chr6_unified.vcf.gz
1f2c9581448947fb342c8f436f8b45fd  data/canonical/CgNhw_chr7_unified.vcf.gz
8d899b91b6453b9621461e5fbb7fb210  data/canonical/CgNhw_chr8_unified.vcf.gz
c6946d61c2140d452664337eee7c74b1  data/canonical/CgNhw_chr9_unified.vcf.gz
</pre>",COPDGene,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 137, 'name': 'COPDGene'}","a311a5b14161c71c1a48cf27d97a6b54  CG10k_AA_hg19_Oct2017.bed
930da2a470a1c78344cb747b92a38cce  CG10k_AA_hg19_Oct2017.bim
de122c5e6802dc3a0786a1ee9f065a86  CG10k_AA_hg19_Oct2017.fam
b9225760a5f35615bacb48433cb2d946  CG10k_NHW_hg19_Oct2017.bed
fff7fb53229e90463636c50ed36a15dc  CG10k_NHW_hg19_Oct2017.bim
1f408b3c6bf2d11c62d43002de62dae5  CG10k_NHW_hg19_Oct2017.fam
",COPDGene,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 137, 'name': 'COPDGene'}",,COPDGene,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
"{'id': 137, 'name': 'COPDGene'}",,COPDGene,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,experiment
